Day,Energy_Produced_Wh
07/08/19,51018
,
07/09/19,57705
,
07/10/19,59583
,
07/11/19,57925
,
07/12/19,57171
,
07/13/19,54855
,
07/14/19,54164
,
07/15/19,57741
,
07/16/19,56713
,
07/17/19,55936
,
07/18/19,57666
,
07/19/19,57344
,
07/20/19,58478
